Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,
12/10/2024,14:00:00,Tuesday,Briefing Schedule,Press Briefing by Press Secretary Karine Jean-Pierre,James S. Brady Press Briefing Room,,,https://rollcall.com/factbase/biden/transcript/joe-biden-press-conference-briefing-karine-jean-pierre-december-10-2024,
12/10/2024,19:00:00,Tuesday,President Schedule,"The President delivers remarks at a Christmas for All Dinner in Celebration of Unity, America, and Special Olympics",East Room,In-House Pool Spray,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-holiday-dinner-unity-special-olympics-december-10-2024,
12/9/2024,10:00:00,Monday,President Schedule,The President receives the President’s Daily Brief,The White House,Closed Press,,,Array
12/9/2024,15:05:00,Monday,President Schedule,The President departs the White House en route to the Department of the Interior,South Grounds,In-Town Travel Pool,,,
12/9/2024,15:45:00,Monday,President Schedule,The President delivers remarks at a Tribal Nations Summit,Department of the Interior,In-Town Travel Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-tribal-summit-washington-december-9-2024,
12/9/2024,16:20:00,Monday,President Schedule,The President departs the Department of the Interior en route to the White House,Department of the Interior,In-Town Travel Pool,,,
12/9/2024,16:25:00,Monday,President Schedule,The President arrives at the White House,South Grounds,In-Town Travel Pool,,,
12/9/2024,18:00:00,Monday,President Schedule,The President and The First Lady host a Holiday Ball for Members of Congress; The Vice President and The Second Gentleman attend,East Room,Closed Press,,,
12/8/2024,13:00:00,Sunday,President Schedule,The President delivers remarks on the latest developments in Syria,Roosevelt Room,In-House Pool,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-syria-civil-war-december-8-2024,Array
12/8/2024,16:30:00,Sunday,President Schedule,The President hosts Kennedy Center Honorees; The Vice President and The Second Gentleman attend,East Room,Pre-Credentialed Media & Pooled for TV,,https://rollcall.com/factbase/biden/transcript/joe-biden-remarks-event-kennedy-center-honorees-december-8-2024,
12/8/2024,18:20:00,Sunday,President Schedule,"The President, The First Lady, The Vice President and The Second Gentleman depart the White House",South Grounds,In-Town Travel Pool,,,
12/8/2024,18:30:00,Sunday,President Schedule,"The President, The First Lady, The Vice President and The Second Gentleman attend the 47th Kennedy Center Honors",John F. Kennedy Center for the Performing Arts,In-Town Travel Pool,,,
12/8/2024,21:45:00,Sunday,President Schedule,The President and The First Lady depart the Kennedy Center,John F. Kennedy Center for the Performing Arts,In-Town Travel Pool,,,
12/8/2024,21:50:00,Sunday,President Schedule,The President and The First Lady arrive at the White House,South Grounds,In-Town Travel Pool,,,
12/7/2024,,Saturday,President Schedule,"On Saturday, the President has no public events scheduled",The White House,,,,Array
